id,train Number,train Departure Station,train Arrival Station,train Id,passenger Surname,passport Number,carriage Number,seat Number,departure Date
473,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Ткаченко,139399599,3,7,01-01-2025
280,101ІС+,Київ-Пасажирський,Львів,3,Кравченко,221445241,2,25,02-01-2025
384,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,АК941998,5,29,02-01-2025
586,223ІС,Миколаїв,Київ-Пасажирський,23,Олійник,589982683,1,20,03-01-2025
460,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Шевченко,427333155,1,30,03-01-2025
432,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Кравченко,СК297198,3,24,03-01-2025
344,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,МК168815,5,10,04-01-2025
526,710НЕ,Хмельницький,Київ-Пасажирський,11,Коваленко,427748905,2,20,05-01-2025
377,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,АК506356,2,23,06-01-2025
93,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,СК718926,4,1,06-01-2025
288,101ІС+,Київ-Пасажирський,Львів,3,Поліщук,ТК884262,3,15,08-01-2025
550,456НШ,Львів,Київ-Пасажирський,15,Бондаренко,898167643,3,18,09-01-2025
292,101ІС+,Київ-Пасажирський,Львів,3,Шевченко,АК432276,4,7,09-01-2025
531,102НЕ,Івано-Франківськ,Житомир,12,Кравченко,184664350,3,11,10-01-2025
373,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,СК113579,4,12,10-01-2025
466,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Сидоренко,848734102,5,4,10-01-2025
566,678НП,Тернопіль,Хмельницький,19,Шевченко,МК720537,5,23,10-01-2025
442,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,409284102,2,8,12-01-2025
372,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,302246312,4,13,12-01-2025
489,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Поліщук,МК922095,4,27,13-01-2025
592,334ІС,Тернопіль,Дніпро-Головний,24,Шевченко,427333155,3,20,14-01-2025
348,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,389674185,3,30,14-01-2025
165,203ІС,Львів,Івано-Франківськ,2,Сидоренко,АК111339,3,14,15-01-2025
244,101ІС+,Київ-Пасажирський,Львів,3,Ткаченко,620419183,2,28,16-01-2025
239,101ІС+,Київ-Пасажирський,Львів,3,Ткаченко,ТК829030,5,22,16-01-2025
